款号,订货会,品牌,品名,流水号,颜色,尺码,大类,中类,小类,季节,波段,等级,色系,价格带,吊牌价,描述
4550101,1,OCT,金属丝背带款防辐射,1223,80紫色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1223,80紫色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1223,80紫色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1223,80紫色,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550309,1,OCT,金属丝背带款防辐射,1224,14中灰,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1224,14中灰,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1224,14中灰,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1224,14中灰,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1225,77深藏青,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1225,77深藏青,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1225,77深藏青,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1225,77深藏青,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1226,80紫色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1226,80紫色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1226,80紫色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4550309,1,OCT,金属丝背带款防辐射,1226,80紫色,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,500-999,680,45.3%聚酯纤维 29.4%金属纤维 25.3%聚酯纤维（辅料除外）
4551115,1,OCT,双色纱镀银背心防辐射,1227,80紫色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,1000-1499,1480,"57.8%锦纶（含银离子）
42.2%聚酯纤维
含银量：6.4g/㎡"
4551115,1,OCT,双色纱镀银背心防辐射,1227,80紫色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,1000-1499,1480,"57.8%锦纶（含银离子）
42.2%聚酯纤维
含银量：6.4g/㎡"
4551115,1,OCT,双色纱镀银背心防辐射,1227,80紫色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,1000-1499,1480,"57.8%锦纶（含银离子）
42.2%聚酯纤维
含银量：6.4g/㎡"
4551115,1,OCT,双色纱镀银背心防辐射,1227,80紫色,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,紫色系,1000-1499,1480,"57.8%锦纶（含银离子）
42.2%聚酯纤维
含银量：6.4g/㎡"
4551116,1,OCT,银离子背心款防辐射,1228,14中灰,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,52.9%锦纶（含有银离子） 47.1%聚酯纤维，含银量5.7G/㎡
4551116,1,OCT,银离子背心款防辐射,1228,14中灰,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,52.9%锦纶（含有银离子） 47.1%聚酯纤维，含银量5.7G/㎡
4551116,1,OCT,银离子背心款防辐射,1228,14中灰,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,52.9%锦纶（含有银离子） 47.1%聚酯纤维，含银量5.7G/㎡
4551116,1,OCT,银离子背心款防辐射,1228,14中灰,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,52.9%锦纶（含有银离子） 47.1%聚酯纤维，含银量5.7G/㎡
4551117,1,OCT,银针织拼接花边防辐射,1229,17灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1780,"100%锦纶（含银离子）（配料除外）
含银量：18.5g/㎡"
4551117,1,OCT,银针织拼接花边防辐射,1229,17灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1780,"100%锦纶（含银离子）（配料除外）
含银量：18.5g/㎡"
4551117,1,OCT,银针织拼接花边防辐射,1229,17灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1780,"100%锦纶（含银离子）（配料除外）
含银量：18.5g/㎡"
4551117,1,OCT,银针织拼接花边防辐射,1229,17灰色,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1780,"100%锦纶（含银离子）（配料除外）
含银量：18.5g/㎡"
4551321,1,OCT,银离子背心防辐射,1230,51粉红,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,红色系,1000-1499,1280,"57.8%锦纶（含银离子）
42.2%聚酯纤维
含银量：7.1g/㎡"
4551321,1,OCT,银离子背心防辐射,1230,51粉红,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,红色系,1000-1499,1280,"57.8%锦纶（含银离子）
42.2%聚酯纤维
含银量：7.1g/㎡"
4551321,1,OCT,银离子背心防辐射,1230,51粉红,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,红色系,1000-1499,1280,"57.8%锦纶（含银离子）
42.2%聚酯纤维
含银量：7.1g/㎡"
4552113,1,OCT,格型银纤维防辐射上衣,1231,77深藏青,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,1000-1499,1480,"主布：50.4%锦纶（含有银离了）49.6%聚酯纤维也纳含银量：6.1g/㎡
配布：100%聚酯纤维"
4552113,1,OCT,格型银纤维防辐射上衣,1231,77深藏青,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,1000-1499,1480,"主布：50.4%锦纶（含有银离了）49.6%聚酯纤维也纳含银量：6.1g/㎡
配布：100%聚酯纤维"
4552113,1,OCT,格型银纤维防辐射上衣,1231,77深藏青,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,1000-1499,1480,"主布：50.4%锦纶（含有银离了）49.6%聚酯纤维也纳含银量：6.1g/㎡
配布：100%聚酯纤维"
4552114,1,OCT,银离子防电磁波背心,1232,70蓝色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,2000以上,2080,"50.3%锦纶（含有银离子）49.7%聚酯纤维
提花：100%聚酯纤维
含银量：6.9g/㎡"
4552114,1,OCT,银离子防电磁波背心,1232,70蓝色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,2000以上,2080,"50.3%锦纶（含有银离子）49.7%聚酯纤维
提花：100%聚酯纤维
含银量：6.9g/㎡"
4552114,1,OCT,银离子防电磁波背心,1232,70蓝色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,2000以上,2080,"50.3%锦纶（含有银离子）49.7%聚酯纤维
提花：100%聚酯纤维
含银量：6.9g/㎡"
4552114,1,OCT,银离子防电磁波背心,1233,87桃粉红,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,红色系,2000以上,2080,"50.3%锦纶（含有银离子）49.7%聚酯纤维
提花：100%聚酯纤维
含银量：6.9g/㎡"
4552114,1,OCT,银离子防电磁波背心,1233,87桃粉红,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,红色系,2000以上,2080,"50.3%锦纶（含有银离子）49.7%聚酯纤维
提花：100%聚酯纤维
含银量：6.9g/㎡"
